Model,Displacement,# of Cylinders,Transmission,Drive,Fuel,Type,City MPG,Highway MPG,Combined MPG
BMW X2 xDrive28i,2.0,4.0,SemiAuto-8,4WD,Gasoline,midsize car,24,31,27
BMW X3 M,3.0,6.0,SemiAuto-8,4WD,Gasoline,small SUV,14,19,16
BMW X3 M Competition,3.0,6.0,SemiAuto-8,4WD,Gasoline,small SUV,14,19,16
BMW X3 M40i,3.0,6.0,SemiAuto-8,4WD,Gasoline,small SUV,21,27,23
BMW X3 sDrive30i,2.0,4.0,SemiAuto-8,2WD,Gasoline,small SUV,25,29,27
BMW X3 xDrive30e,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,small SUV,21,27,24
BMW X3 xDrive30i,2.0,4.0,SemiAuto-8,4WD,Gasoline,small SUV,24,29,26
BMW X4 M,3.0,6.0,SemiAuto-8,4WD,Gasoline,small SUV,14,19,16
BMW X4 M Competition,3.0,6.0,SemiAuto-8,4WD,Gasoline,small SUV,14,19,16
BMW X4 M40i,3.0,6.0,SemiAuto-8,4WD,Gasoline,small SUV,21,27,23
BMW X4 xDrive30i,2.0,4.0,SemiAuto-8,4WD,Gasoline,small SUV,23,28,25
BMW X5 M,4.4,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,13,18,15
BMW X5 M Competition,4.4,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,13,18,15
BMW X5 M50i,4.4,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,16,22,18
BMW X5 sDrive40i,3.0,6.0,SemiAuto-8,2WD,Gasoline,standard SUV,21,26,23
BMW X5 xDrive40i,3.0,6.0,SemiAuto-8,4WD,Gasoline,standard SUV,20,26,22
BMW X5 xDrive50i,4.4,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,16,22,18
BMW X6 M,4.4,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,13,18,15
BMW X6 M Competition,4.4,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,13,18,15
BMW X6 M50i,4.4,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,16,22,18
BMW X6 sDrive40i,3.0,6.0,SemiAuto-8,2WD,Gasoline,standard SUV,21,26,23
BMW X6 xDrive40i,3.0,6.0,SemiAuto-8,4WD,Gasoline,standard SUV,20,26,22
BMW X7 M50i,4.4,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,15,21,17
BMW X7 xDrive40i,3.0,6.0,SemiAuto-8,4WD,Gasoline,standard SUV,20,25,22
